CIE10,DIAGNO,CLASIFICA,CDIAG
R832,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R832      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
R833,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R833      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL
R834,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS INMUNOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R834      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS INMUNOLOGICOS ANORMALES
R835,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R835      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO
R836,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS CITOLOGICOS ANORMALES FROTIS ANORMAL DE PAPANICOLAOU,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R836      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS CITOLOGICOS ANORMALES FROTIS ANORMAL DE PAPANICOLAOU
R837,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS HISTOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R837      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS HISTOLOGICOS ANORMALES
R838,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R838      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES
R839,HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS ANORMALES NO ESPECIFICADOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R839      HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO HALLAZGOS ANORMALES NO ESPECIFICADOS
R84,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R84       HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS
R840,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE ENZIMAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R840      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE ENZIMAS
R841,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL HORMONAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R841      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL HORMONAS
R842,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE OTRAAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R842      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE OTRAAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
R843,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R843      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL
R844,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS INMUNOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R844      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS INMUNOLOGICOS ANORMALES
R845,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R845      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO
R846,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R846      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU
R847,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS HISTOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R847      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS HISTOLOGICOS ANORMALES
R848,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R848      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES
R849,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS ANORMALES NO ESPECIFICADOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R849      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS HALLAZGOS ANORMALES NO ESPECIFICADOS
R85,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R85       HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL
R850,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL ENZIMAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R850      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL ENZIMAS
R851,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE HORMONAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R851      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE HORMONAS
R852,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R852      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
R853,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R853      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL
R854,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS INMUNOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R854      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS INMUNOLOGICOS ANORMALES
R855,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R855      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO
R856,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R856      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU
R857,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS HISTOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R857      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS HISTOLOGICOS ANORMALES
R858,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R858      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES
R859,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS ANORMALES NO ESPECIFICADOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R859      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y CAVIDAD ABDOMINAL HALLAZGOS ANORMALES NO ESPECIFICADOS
R86,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R86       HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS
R860,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE ENZIMAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R860      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE ENZIMAS
R861,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE HORMONAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R861      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE HORMONAS
R862,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE OTRAS DROGRAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R862      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE OTRAS DROGRAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
R863,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R863      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL
R864,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS INMUNOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R864      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS INMUNOLOGICOS ANORMALES
R865,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R865      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS MICROBIOLOGICOS ANORMALES Y POSITIVOS EN CULTIVO
R866,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R866      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU
R867,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS HISTOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R867      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS HISTOLOGICOS ANORMALES
R868,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS OTR HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R868      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS OTR HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES
R869,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS ANORMALES NO ESPECIFICADOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R869      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS HALLAZGOS ANORMALES NO ESPECIFICADOS
R87,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R87       HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS
R870,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE ENZIMAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R870      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE ENZIMAS
R871,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE HORMONAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R871      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE HORMONAS
R872,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R872      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
R873,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R873      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL
R874,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS INMUNOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R874      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS INMUNOLOGICOS ANORMALES
R875,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS MICROBIOLOGICOS ANORMALES POSITIVOS EN CULTIVO,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R875      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS MICROBIOLOGICOS ANORMALES POSITIVOS EN CULTIVO
R876,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R876      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS CITOLOGICOS ANORMALES Y FROTIS ANORMAL DE PAPANICOLAOU
R877,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS HISTOLOGICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R877      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS HISTOLOGICOS ANORMALES
R878,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R878      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS OTROS HALLAZGOS ANORMALES HALLAZGOS CROMOSOMICOS ANORMALES
R879,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS ANORMALES NO ESPECIFICADOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R879      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS HALLAZGOS ANORMALES NO ESPECIFICADOS
R89,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R89       HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS
R890,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS NIVEL ANORMAL ENZIMAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R890      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS NIVEL ANORMAL ENZIMAS
R891,HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS NIVEL ANORMAL HORMONAS,HALLAZGOS ANORMALES EN EL EXAMEN DE OTROS LÍQUIDOS SUSTANCIAS Y TEJIDOS CORPORALES SIN DIAGNÓSTICO,R891      HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS SISTEMAS Y TEJIDOS NIVEL ANORMAL HORMONAS
